,name,artist,track_id,danceability,energy,loudness,acousticness,valence
0,Sunday Morning,Maroon 5,5qII2n90lVdPDcgXEEVHNy,0.608,0.768,-5.227,0.0913,0.809
1,"Telescope (feat. Anine, Polo G & Swarmz)",The Plug,7f3lIYiuYuKngnz0Mwt54R,0.815,0.52,-8.978,0.024,0.398
2,Benihana (feat. Kodak Black),Lil Durk,7ihTrFX15onWzNwCHCD2w2,0.775,0.679,-6.376,0.071,0.494
3,Lost in My Mind,RÜFÜS DU SOL,2LcQebtolx6SwZS4zeHWWt,0.575,0.827,-5.576,0.00962,0.286
4,Shameless,The Weeknd,6C6fHTuFUxVtJpBOOaMvJr,0.603,0.563,-8.313,0.147,0.234
5,Feel No Ways,Drake,3cjF2OFRmip8spwZYQRKxP,0.588,0.674,-7.083,0.0319,0.198
6,Childs Play,Drake,3NxAG2ni1lLa8RKL6a0INc,0.745,0.473,-11.243,0.017,0.296
7,Too Good,Drake,3BtuIIrQlkujKPuWF2B85z,0.793,0.653,-7.839,0.0484,0.393
8,Controlla,Drake,3O8NlPh2LByMU9lSRSHedm,0.611,0.468,-11.084,0.0781,0.349
9,LOVE. FEAT. ZACARI.,Kendrick Lamar,6PGoSes0D9eUDeeAafB2As,0.8,0.585,-7.343,0.264,0.779
10,Teenage Fever,Drake,6n3HGiq4v35D6eFOSwqYuo,0.766,0.283,-10.33,0.111,0.144
11,Blem,Drake,2XlHu0HcujBCkWMdIAvrqt,0.726,0.535,-7.804,0.0533,0.375
12,Astrovan,Mt. Joy,5BVehr64ooHUXhEltQovac,0.511,0.446,-9.403,0.857,0.598
13,First Class,Rainbow Kitten Surprise,7trx783SvnHhKkmgSSTIFJ,0.554,0.337,-10.189,0.581,0.216
14,Have You Ever Seen The Rain,Creedence Clearwater Revival,5DnT9a5IM3eMjKgXTWVJvi,0.743,0.47,-13.154,0.0936,0.89
15,Jenny Jenkins,Mt. Joy,7I0Ep2xYqltHpke3Kg0WPT,0.729,0.406,-9.388,0.248,0.177
16,Molly (feat. Brendon Urie of Panic at the Disco),Lil Dicky,0NBiC3zLXoBQXBjsbnbwJq,0.831,0.514,-6.695,0.203,0.397
17,The Story I Heard,Blind Pilot,2aniiMAbFXjyUPPg3wpDpo,0.739,0.443,-13.002,0.57,0.502
18,I'm Your Wreck,Mt. Joy,7MzKYpIU3wozsFJDOmI8Es,0.483,0.592,-6.962,0.408,0.206
19,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1jYiIOC5d6soxkJP81fxq2,0.599,0.667,-4.267,0.0533,0.817
20,ICEMAN,Father,0YYIoSpuOGIurK46YJuXsI,0.812,0.334,-12.266,0.295,0.232
21,Ridin (feat. Landon Cube & YBN Nahmir),Yung Bans,1zQ6uJovEnJTvExEfAL6vT,0.832,0.439,-9.594,0.606,0.53
22,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,67XyC1GdSkKb9sbRRkUDXS,0.894,0.511,-4.768,0.0251,0.568
23,3005,Childish Gambino,2ZltjIqztEpZtafc8w0I9t,0.472,0.448,-7.272,0.113,0.636
24,Red Roses (feat. Landon Cube),Lil Skies,3ZhTT6yjZwpPph5MIJ53XY,0.691,0.683,-7.335,0.547,0.456
25,Perkys Calling,Future,05nB8pRwwbKA2fsKK1nOyE,0.779,0.547,-7.869,0.0179,0.0993
26,That Way,Lil Uzi Vert,5raTDhlbxFDnpn89bxArdH,0.719,0.611,-5.01,0.0582,0.489
27,Erase Your Social,Lil Uzi Vert,4uhvMW7ly7tJil31YYscAN,0.705,0.609,-5.728,0.694,0.718
28,broken,lovelytheband,6XcfKZvJio9Z0fQy11GnNX,0.666,0.728,-5.808,0.00175,0.51
29,Lust,Lil Skies,7oJrVhiTPZGBXWPwhxjy9S,0.718,0.767,-5.641,0.138,0.519
30,Calling My Spirit,Kodak Black,2MShy1GSSgbmGUxADNIao5,0.91,0.366,-9.954,0.0996,0.74
